Date,y_0,y_1,y_2,y_3
2014-11-11,12.123096,12.123096,12.123096,12.123096
2014-11-12,11.81769968222532,12.226867066304347,12.140312109369535,12.157554624765153
2014-11-13,12.022011797626416,12.235446023505435,12.125023176421962,12.158846089407117
2014-11-14,12.00593396772197,12.315882326222825,12.134530580103647,12.15843516883922
2014-11-15,11.92505011574115,12.31732359103261,12.116800557021588,12.115347212148214
2014-11-18,12.007170723868466,12.315196009646739,12.118920451085748,12.171995547579849
2014-11-19,11.908065331329276,12.278134914538045,12.125215894064159,12.198353166863585
2014-11-20,11.448486747291462,12.361453746874998,12.1195628432264,12.219662333456002
2014-11-21,11.686108828238176,12.311489900135868,12.132731882109814,12.26063698436925
2014-11-22,11.681821406930323,12.390759464673911,12.130611988045656,12.298735191307212
2014-11-25,11.460524507117354,12.394808732472825,12.136393517311545,12.254473175850784
2014-11-26,11.714306868378277,12.443743104347824,12.111147506183832,12.277484727653064
2014-11-27,12.043284003346143,12.485745678804346,12.140954501510189,12.37158553770168
2014-11-28,11.971387246029858,12.45081216508152,12.126757635201729,12.385322025257123
2014-11-29,12.08912643117625,12.440586048097824,12.169219755698979,12.38138892839296
2014-12-02,,,,
2014-12-03,12.32979917728432,12.263173213179346,12.137549823164724,12.329084610393386
2014-12-04,12.211895091318393,12.316843169429347,12.130997423330047,12.339240218714291
2014-12-05,12.251471288006256,12.416290441304348,12.146800269990145,12.34646068012164
2014-12-06,12.119633082789813,12.533581944157609,12.167678014561409,12.42371374688644
2014-12-09,12.250646783908593,12.584094844157608,12.180911292658887,12.47883580592303
2014-12-10,12.292614042479682,12.716210785054347,12.183031186723047,12.591780259156677
2014-12-11,12.393533344033735,12.700562767119566,12.16343822643309,12.576165277576557
2014-12-12,12.336972362933993,12.812569632336958,12.171982041903794,
2014-12-13,12.239021276131535,12.776263485461955,12.204808280291228,
2014-12-16,12.23794942080457,12.803990675135868,12.197163813817443,
2014-12-17,12.14700661883225,12.695964446059781,12.199797621594122,
2014-12-18,11.997441575516033,12.683748011005434,12.194401527612628,
2014-12-19,12.006346219770803,12.706465089673912,12.215343511397958,
2014-12-20,11.828335785085185,12.625342470380437,12.203716213652115,
2014-12-23,11.809372190838916,12.65670713790761,12.207827523352302,
2014-12-24,11.68165650611079,12.714220466983695,12.211360680125901,
2014-12-25,11.009026063236645,12.726642797010868,12.194080331542299,
2014-12-26,11.103761584058217,12.67393368396739,12.217399166248052,
2014-12-27,11.056847300901145,12.705847404755435,12.196714139318985,
2014-12-30,11.190416964722685,12.747300925951086,12.202431429370808,
2014-12-31,10.969779668187847,12.83398270951087,12.234615275617589,
2015-01-01,10.890215022763288,12.786352339130435,12.232109946269038,
2015-01-02,11.144327185663279,12.793558663179347,12.21951906031221,
2015-01-03,11.406272137491074,12.964039700679347,12.220739605379455,
2015-01-06,,,,
2015-01-07,11.666650531533309,12.950656527445652,12.245278985152451,
2015-01-08,11.64455382171592,12.999522267663043,12.260696396528152,12.541882761626217
2015-01-09,11.498534146019654,12.978864138722827,12.243094851874226,12.501142922466057
2015-01-10,11.083066531206855,12.790332975271737,12.218041558388707,12.278893598171573
2015-01-13,11.28968725808141,12.843659773233695,12.199219468667538,12.335776745356293
2015-01-14,10.971840928432007,12.660070089130434,12.163952140145614,12.15373893377753
2015-01-15,11.026588000516883,12.595693594293476,12.139027325088227,12.170351865308257
2015-01-16,11.100133766028497,12.694317286277176,12.171403888977203,12.283589833233261
2015-01-17,11.023125083306697,12.620675517663042,12.158556046164117,12.252653384764377
2015-01-20,11.08619964677798,12.717240259918476,12.180525857374496,12.320396575529257
2015-01-21,11.096505947998775,12.744006606385868,12.172431716402249,12.35796645602278
2015-01-22,11.602998815193661,12.846954092798912,12.194208809970434,12.497385934416705
2015-01-23,11.555507379168226,12.999316372690219,12.235257667758242,12.57258439834202
2015-01-24,11.392667819879621,12.941597148641304,12.252088341843386,12.504547692885781
2015-01-27,11.33956975599007,12.792391924999997,12.243030612660158,12.41279500036801
2015-01-28,11.171865622525248,12.815246266983696,12.243994200871139,12.392894704294099
2015-01-29,11.333056173618527,12.947773997826086,12.27675620004451,12.469971662244088
2015-01-30,11.322749872397727,12.824237014130436,12.285428493943344,12.432401781750569
2015-01-31,11.16526958974394,12.927047237228262,12.278105223539884,12.407746547676696
2015-02-03,10.963595887455368,12.964726017255435,12.289025889931008,12.35274189451665
2015-02-04,10.228632934797837,13.00693448668478,12.254914867262267,12.180977097135333
2015-02-05,10.307950228993098,13.041456210461954,12.24836246742759,12.204575678320325
2015-02-06,10.159539491413609,13.075566144293479,12.259411612246845,12.160372365802168
2015-02-07,10.20917463809297,13.011395544429348,12.266606404222172,12.125444117530847
2015-02-10,,,,12.124739682271592
2015-02-11,10.149645442241644,13.061359391168478,12.22825559342511,12.06110569718569
2015-02-12,10.344888012568436,12.973922659374999,12.229668856134552,12.15004064866645
2015-02-13,10.381331093685176,12.892182355163044,12.251317471274602,12.148690481086211
2015-02-14,10.221377298738396,12.984766461277172,12.243608765586748,12.101845536345854
2015-02-17,10.307373076124732,12.935420299456522,12.223823087654596,12.102080348098939
2015-02-18,10.64814061968919,13.06431055244565,12.23879082453184,12.214085554320247
2015-02-19,10.84049742567416,13.081811625135868,12.25639236918577,12.269794642739544
2015-02-20,10.88947296907539,13.12964789048913,12.273672717769372,12.263865645974164
2015-02-21,10.98659955178019,13.111460501222826,12.289025889931008,12.314115361134247
2015-02-24,10.89062727481212,13.12175524986413,12.280353596032175,12.296152262023284
